"clone_nr","regions","n_regions","clone_types","cell_types","n_cells"
"59","E16_stomach, E16_colon",2,"Single-cell-type multicellular","ENS Progenitor, Proliferative ENS Progenitor 1",3
"115","E16_stomach, E16_colon",2,"Single-cell-type multicellular","Proliferative ENS Progenitor 2, Proliferative ENS Progenitor 1",2
"118","E16_jej_ileum, E16_colon",2,"Single-cell-type multicellular","ENS Progenitor, ENS Branch B 2, ENS Branch B 1",3
"152","E16_stomach, E16_jej_ileum, E16_colon",3,"Single-cell-type multicellular","ENS Branch B 2, ENS Progenitor, Proliferative ENS Progenitor 1, ENS Branch B 1, Proliferative ENS Progenitor 2",8
"167","E16_stomach, E16_jej_ileum, E16_colon",3,"Single-cell-type multicellular","ENS Branch A, ENS Branch B 2, ENS Progenitor, ENS Branch B 1, Proliferative ENS Progenitor 1, ENS Neuroblast",12
"208","E16_stomach, E16_colon",2,"Single-cell-type multicellular","ENS Progenitor, ENS Branch A, ENS Branch B 1, ENS Branch B 2, Proliferative ENS Progenitor 1",9
"228","E16_stomach, E16_colon",2,"Single-cell-type multicellular","ENS Progenitor, ENS Branch B 2, Proliferative ENS Progenitor 2",3
"253","E16_stomach, E16_jej_ileum",2,"Single-cell-type multicellular","ENS Branch A, SCP, ENS Neuroblast",3
"264","E16_jej_ileum, E16_colon",2,"Single-cell-type multicellular","ENS Neuroblast, Proliferative ENS Progenitor 1",2
"276","E16_stomach, E16_jej_ileum, E16_colon",3,"Single-cell-type multicellular","ENS Branch B 1, ENS Branch B 2, ENS Progenitor, Proliferative ENS Progenitor 2",5
"283","E16_stomach, E16_jej_ileum, E16_colon",3,"Single-cell-type multicellular","ENS Branch B 2, ENS Progenitor, Proliferative ENS Progenitor 2, ENS Branch A",7
"293","E16_stomach, E16_jej_ileum",2,"Single-cell-type multicellular","ENS Branch A, Proliferative ENS Progenitor 1",2
"324","E16_stomach, E16_jej_ileum",2,"Single-cell-type multicellular","ENS Progenitor, ENS Branch B 2, Proliferative ENS Progenitor 1, Proliferative ENS Progenitor 2",8
"370","E16_jej_ileum, E16_colon",2,"Single-cell-type multicellular","Proliferative ENS Progenitor 1, ENS Branch B 2, ENC12, ENS Branch B 1",4
